,,
,,
,"Bitcoin BTC/USD price history up to Oct 15, 2025",
,"Bitcoin (BTC) price per day from April 25, 2020 to October 15, 2025 (in U.S. dollars)",
,,
,"Oct 9, 2022","19,418.04"
,"Oct 10, 2022","19,448.15"
,"Oct 11, 2022","19,142.69"
,"Oct 12, 2022","19,058.63"
,"Oct 13, 2022","19,153.04"
,"Oct 14, 2022","19,383.94"
,"Oct 15, 2022","19,198.11"
,"Oct 16, 2022","19,072.78"
,"Oct 17, 2022","19,272.92"
,"Oct 18, 2022","19,557.90"
,"Oct 19, 2022","19,348.03"
,"Oct 20, 2022","19,134.24"
,"Oct 21, 2022","19,031.16"
,"Oct 22, 2022","19,173.28"
,"Oct 23, 2022","19,203.87"
,"Oct 24, 2022","19,574.82"
,"Oct 25, 2022","19,316.94"
,"Oct 26, 2022","20,095.15"
,"Oct 27, 2022","20,774.25"
,"Oct 28, 2022","20,278.37"
,"Oct 29, 2022","20,591.24"
,"Oct 30, 2022","20,800.71"
,"Oct 31, 2022","20,623.87"
,"Nov 1, 2022","20,494.60"
,"Nov 2, 2022","20,489.65"
,"Nov 3, 2022","20,162.98"
,"Nov 4, 2022","20,210.91"
,"Nov 5, 2022","21,150.32"
,"Nov 6, 2022","21,282.99"
,"Nov 7, 2022","20,907"
,"Nov 8, 2022","20,597.76"
,"Nov 9, 2022","18,562.35"
,"Nov 10, 2022","15,742.44"
,"Nov 11, 2022","17,594.92"
,"Nov 12, 2022","17,080.22"
,"Nov 13, 2022","16,797.99"
,"Nov 14, 2022","16,344.34"
,"Nov 15, 2022","16,645.83"
,"Nov 16, 2022","16,890.53"
,"Nov 17, 2022","16,689.40"
,"Nov 18, 2022","16,718.36"
,"Nov 19, 2022","16,707.02"
,"Nov 20, 2022","16,712.73"
,"Nov 21, 2022","16,304.08"
,"Nov 22, 2022","15,814.34"
,"Nov 23, 2022","16,171.63"
,"Nov 24, 2022","16,608.01"
,"Nov 25, 2022","16,596.04"
,"Nov 26, 2022","16,524.45"
,"Nov 27, 2022","16,456.16"
,"Nov 28, 2022","16,459.15"
,"Nov 29, 2022","16,222.21"
,"Nov 30, 2022","16,441.98"
,"Dec 1, 2022","17,186.50"
,"Dec 2, 2022","16,972.73"
,"Dec 3, 2022","17,084.87"
,"Dec 4, 2022","16,923.38"
,"Dec 5, 2022","17,149.93"
,"Dec 6, 2022","16,973.37"
,"Dec 7, 2022","17,085.64"
,"Dec 8, 2022","16,851.30"
,"Dec 9, 2022","17,235.01"
,"Dec 10, 2022","17,149.82"
,"Dec 11, 2022","17,125.36"
,"Dec 12, 2022","17,101.04"
,"Dec 13, 2022","17,179.60"
,"Dec 14, 2022","17,784.16"
,"Dec 15, 2022","17,808.72"
,"Dec 16, 2022","17,338.36"
,"Dec 17, 2022","16,623.76"
,"Dec 18, 2022","16,806.49"
,"Dec 19, 2022","16,742.82"
,"Dec 20, 2022","16,422.56"
,"Dec 21, 2022","16,899.33"
,"Dec 22, 2022","16,816.85"
,"Dec 23, 2022","16,824.79"
,"Dec 24, 2022","16,791.46"
,"Dec 25, 2022","16,848.57"
,"Dec 26, 2022","16,842.18"
,"Dec 27, 2022","16,900.08"
,"Dec 28, 2022","16,701.84"
,"Dec 29, 2022","16,538.91"
,"Dec 30, 2022","16,644.38"
,"Dec 31, 2022","16,604.02"
,"Jan 1, 2023","16,540.69"
,"Jan 2, 2023","16,615.97"
,"Jan 3, 2023","16,674.34"
,"Jan 4, 2023","16,677.65"
,"Jan 5, 2023","16,855.17"
,"Jan 6, 2023","16,832.10"
,"Jan 7, 2023","16,960.23"
,"Jan 8, 2023","16,950.86"
,"Jan 9, 2023","17,074.62"
,"Jan 10, 2023","17,194.91"
,"Jan 11, 2023","17,436.90"
,"Jan 12, 2023","17,996.83"
,"Jan 13, 2023","18,866.81"
,"Jan 14, 2023","19,941.78"
,"Jan 15, 2023","21,019.21"
,"Jan 16, 2023","20,853.23"
,"Jan 17, 2023","21,175.34"
,"Jan 18, 2023","21,156.78"
,"Jan 19, 2023","20,726.84"
,"Jan 20, 2023","21,081.67"
,"Jan 21, 2023","22,705.83"
,"Jan 22, 2023","22,771.02"
,"Jan 23, 2023","22,736.66"
,"Jan 24, 2023","22,984.87"
,"Jan 25, 2023","22,610.01"
,"Jan 26, 2023","23,180.42"
,"Jan 27, 2023","23,024.75"
,"Jan 28, 2023","23,082.86"
,"Jan 29, 2023","23,022.23"
,"Jan 30, 2023","23,797.46"
,"Jan 31, 2023","22,840.39"
,"Feb 1, 2023","23,137.32"
,"Feb 2, 2023","23,725.16"
,"Feb 3, 2023","23,539.68"
,"Feb 4, 2023","23,451.58"
,"Feb 5, 2023","23,340.35"
,"Feb 6, 2023","22,946.29"
,"Feb 7, 2023","22,786.48"
,"Feb 8, 2023","23,294.91"
,"Feb 9, 2023","22,947.51"
,"Feb 10, 2023","21,820.89"
,"Feb 11, 2023","21,630.13"
,"Feb 12, 2023","21,889.43"
,"Feb 13, 2023","21,779.87"
,"Feb 14, 2023","21,807.83"
,"Feb 15, 2023","22,220.07"
,"Feb 16, 2023","24,307.88"
,"Feb 17, 2023","23,756.91"
,"Feb 18, 2023","24,628.82"
,"Feb 19, 2023","24,642.79"
,"Feb 20, 2023","24,284.48"
,"Feb 21, 2023","24,786.67"
,"Feb 22, 2023","24,417.39"
,"Feb 23, 2023","24,146.10"
,"Feb 24, 2023","23,951.11"
,"Feb 25, 2023","23,172.29"
,"Feb 26, 2023","23,157.04"
,"Feb 27, 2023","23,541.12"
,"Feb 28, 2023","23,518.12"
,"Mar 1, 2023","23,155.54"
,"Mar 2, 2023","23,634.33"
,"Mar 3, 2023","23,464.34"
,"Mar 4, 2023","22,367.43"
,"Mar 5, 2023","22,348.33"
,"Mar 6, 2023","22,421.89"
,"Mar 7, 2023","22,415.11"
,"Mar 8, 2023","22,217.21"
,"Mar 9, 2023","21,712.65"
,"Mar 10, 2023","20,376.32"
,"Mar 11, 2023","20,195.23"
,"Mar 12, 2023","20,521.56"
,"Mar 13, 2023","22,095.71"
,"Mar 14, 2023","24,178.96"
,"Mar 15, 2023","24,758.77"
,"Mar 16, 2023","24,470.88"
,"Mar 17, 2023","25,161.27"
,"Mar 18, 2023","27,466.68"
,"Mar 19, 2023","27,107.79"
,"Mar 20, 2023","28,186.84"
,"Mar 21, 2023","27,929.17"
,"Mar 22, 2023","28,264.24"
,"Mar 23, 2023","27,449.25"
,"Mar 24, 2023","28,459.74"
,"Mar 25, 2023","27,595.49"
,"Mar 26, 2023","27,670.20"
,"Mar 27, 2023","28,048.47"
,"Mar 28, 2023","27,182.30"
,"Mar 29, 2023","27,291.35"
,"Mar 30, 2023","28,395"
,"Mar 31, 2023","28,041.12"
,"Apr 1, 2023","28,516.78"
,"Apr 2, 2023","28,498.94"
,"Apr 3, 2023","28,236.51"
,"Apr 4, 2023","27,815.43"
,"Apr 5, 2023","28,175.33"
,"Apr 6, 2023","28,197.20"
,"Apr 7, 2023","28,042.98"
,"Apr 8, 2023","27,934.44"
,"Apr 9, 2023","27,968.13"
,"Apr 10, 2023","28,351.24"
,"Apr 11, 2023","29,657.97"
,"Apr 12, 2023","30,260.94"
,"Apr 13, 2023","29,904.14"
,"Apr 14, 2023","30,405.03"
,"Apr 15, 2023","30,468.41"
,"Apr 16, 2023","30,312.16"
,"Apr 17, 2023","30,304.81"
,"Apr 18, 2023","29,467.46"
,"Apr 19, 2023","30,365.90"
,"Apr 20, 2023","28,833.22"
,"Apr 21, 2023","28,255.58"
,"Apr 22, 2023","27,300.16"
,"Apr 23, 2023","27,861.64"
,"Apr 24, 2023","27,606.58"
,"Apr 25, 2023","27,511.64"
,"Apr 26, 2023","28,351.22"
,"Apr 27, 2023","28,352.19"
,"Apr 28, 2023","29,483.52"
,"Apr 29, 2023","29,339.99"
,"Apr 30, 2023","29,217.94"
,"May 1, 2023","29,362.06"
,"May 2, 2023","28,125.50"
,"May 3, 2023","28,654.39"
,"May 4, 2023","28,988.32"
,"May 5, 2023","28,846.46"
,"May 6, 2023","29,520.32"
,"May 7, 2023","28,887.74"
,"May 8, 2023","28,611.44"
,"May 9, 2023","27,696.76"
,"May 10, 2023","27,607.39"
,"May 11, 2023","27,639.73"
,"May 12, 2023","27,024.77"
,"May 13, 2023","26,787.69"
,"May 14, 2023","26,798.13"
,"May 15, 2023","26,911.81"
,"May 16, 2023","27,227.79"
,"May 17, 2023","27,022.71"
,"May 18, 2023","27,389.97"
,"May 19, 2023","26,842.95"
,"May 20, 2023","26,884.37"
,"May 21, 2023","27,093.79"
,"May 22, 2023","26,773.83"
,"May 23, 2023","26,869.69"
,"May 24, 2023","27,222.94"
,"May 25, 2023","26,338.95"
,"May 26, 2023","26,475.61"
,"May 27, 2023","26,717.99"
,"May 28, 2023","26,848.24"
,"May 29, 2023","28,110.31"
,"May 30, 2023","27,759.75"
,"May 31, 2023","27,713.91"
,"Jun 1, 2023","27,245.47"
,"Jun 2, 2023","26,824.10"
,"Jun 3, 2023","27,247.74"
,"Jun 4, 2023","27,066.37"
,"Jun 5, 2023","27,315.45"
,"Jun 6, 2023","25,792.62"
,"Jun 7, 2023","27,216.62"
,"Jun 8, 2023","26,346.24"
,"Jun 9, 2023","26,507.91"
,"Jun 10, 2023","26,469.58"
,"Jun 11, 2023","25,858.12"
,"Jun 12, 2023","25,916.58"
,"Jun 13, 2023","25,910.36"
,"Jun 14, 2023","25,872.21"
,"Jun 15, 2023","25,107.75"
,"Jun 16, 2023","25,564.60"
,"Jun 17, 2023","26,327.33"
,"Jun 18, 2023","26,501.04"
,"Jun 19, 2023","26,333.09"
,"Jun 20, 2023","26,779.39"
,"Jun 21, 2023","28,330.89"
,"Jun 22, 2023","30,101.76"
,"Jun 23, 2023","29,935.63"
,"Jun 24, 2023","30,629.24"
,"Jun 25, 2023","30,537.82"
,"Jun 26, 2023","30,454.76"
,"Jun 27, 2023","30,285.51"
,"Jun 28, 2023","30,693.55"
,"Jun 29, 2023","30,083.48"
,"Jun 30, 2023","30,466.61"
,"Jul 1, 2023","30,480.78"
,"Jul 2, 2023","30,583.62"
,"Jul 3, 2023","30,571.89"
,"Jul 4, 2023","31,134.71"
,"Jul 5, 2023","30,775.62"
,"Jul 6, 2023","30,484.79"
,"Jul 7, 2023","29,990.06"
,"Jul 8, 2023","30,315.27"
,"Jul 9, 2023","30,264.20"
,"Jul 10, 2023","30,169.87"
,"Jul 11, 2023","30,394.28"
,"Jul 12, 2023","30,620.81"
,"Jul 13, 2023","30,407.42"
,"Jul 14, 2023","31,446.01"
,"Jul 15, 2023","30,311.83"
,"Jul 16, 2023","30,297.97"
,"Jul 17, 2023","30,237.33"
,"Jul 18, 2023","30,147.86"
,"Jul 19, 2023","29,848.03"
,"Jul 20, 2023","29,919.87"
,"Jul 21, 2023","29,787.04"
,"Jul 22, 2023","29,914.68"
,"Jul 23, 2023","29,710.16"
,"Jul 24, 2023","30,057.96"
,"Jul 25, 2023","29,184.90"
,"Jul 26, 2023","29,222.97"
,"Jul 27, 2023","29,363.67"
,"Jul 28, 2023","29,200.24"
,"Jul 29, 2023","29,314.10"
,"Jul 30, 2023","29,356.75"
,"Jul 31, 2023","29,277.76"
,"Aug 1, 2023","29,233.14"
,"Aug 2, 2023","29,537.11"
,"Aug 3, 2023","29,146.64"
,"Aug 4, 2023","29,176.15"
,"Aug 5, 2023","29,087.94"
,"Aug 6, 2023","29,046.80"
,"Aug 7, 2023","29,044.20"
,"Aug 8, 2023","29,178.15"
,"Aug 9, 2023","29,779.56"
,"Aug 10, 2023","29,585.49"
,"Aug 11, 2023","29,423.82"
,"Aug 12, 2023","29,396.85"
,"Aug 13, 2023","29,412.14"
,"Aug 14, 2023","29,284.97"
,"Aug 15, 2023","29,400.59"
,"Aug 16, 2023","29,170.49"
,"Aug 17, 2023","28,754.20"
,"Aug 18, 2023","26,501.59"
,"Aug 19, 2023","26,042.84"
,"Aug 20, 2023","26,104.78"
,"Aug 21, 2023","26,160.70"
,"Aug 22, 2023","26,119.01"
,"Aug 23, 2023","26,033.68"
,"Aug 24, 2023","26,450.01"
,"Aug 25, 2023","26,134.93"
,"Aug 26, 2023","26,044.04"
,"Aug 27, 2023","26,002.02"
,"Aug 28, 2023","26,082.72"
,"Aug 29, 2023","26,109.27"
,"Aug 30, 2023","27,730.50"
,"Aug 31, 2023","27,297.26"
,"Sep 1, 2023","25,927.42"
,"Sep 2, 2023","25,812.33"
,"Sep 3, 2023","25,853.66"
,"Sep 4, 2023","25,959.60"
,"Sep 5, 2023","25,829.36"
,"Sep 6, 2023","25,784.41"
,"Sep 7, 2023","25,752.96"
,"Sep 8, 2023","26,192.33"
,"Sep 9, 2023","25,907.23"
,"Sep 10, 2023","25,889.33"
,"Sep 11, 2023","25,834.58"
,"Sep 12, 2023","25,133.30"
,"Sep 13, 2023","25,866.81"
,"Sep 14, 2023","26,223.44"
,"Sep 15, 2023","26,531.40"
,"Sep 16, 2023","26,634.63"
,"Sep 17, 2023","26,557.77"
,"Sep 18, 2023","26,520.99"
,"Sep 19, 2023","26,741.46"
,"Sep 20, 2023","27,219.30"
,"Sep 21, 2023","27,115.85"
,"Sep 22, 2023","26,561.13"
,"Sep 23, 2023","26,572.04"
,"Sep 24, 2023","26,573.92"
,"Sep 25, 2023","26,249.56"
,"Sep 26, 2023","26,298.63"
,"Sep 27, 2023","26,204.76"
,"Sep 28, 2023","26,350.15"
,"Sep 29, 2023","27,009.01"
,"Sep 30, 2023","26,917.20"
,"Oct 1, 2023","26,969.88"
,"Oct 2, 2023","27,967.51"
,"Oct 3, 2023","27,615.06"
,"Oct 4, 2023","27,439.12"
,"Oct 5, 2023","27,792.11"
,"Oct 6, 2023","27,435.87"
,"Oct 7, 2023","27,958.20"
,"Oct 8, 2023","27,977.54"
,"Oct 9, 2023","27,948.10"
,"Oct 10, 2023","27,593.78"
,"Oct 11, 2023","27,392.25"
,"Oct 12, 2023","26,842.19"
,"Oct 13, 2023","26,729.14"
,"Oct 14, 2023","26,841.14"
,"Oct 15, 2023","26,863.18"
,"Oct 16, 2023","27,150.30"
,"Oct 17, 2023","28,513.31"
,"Oct 18, 2023","28,417.72"
,"Oct 19, 2023","28,328.25"
,"Oct 20, 2023","28,715.75"
,"Oct 21, 2023","29,677.39"
,"Oct 22, 2023","29,920.07"
,"Oct 23, 2023","30,019.38"
,"Oct 24, 2023","32,953.26"
,"Oct 25, 2023","33,846.72"
,"Oct 26, 2023","34,471.99"
,"Oct 27, 2023","34,174.45"
,"Oct 28, 2023","33,899.09"
,"Oct 29, 2023","34,092.63"
,"Oct 30, 2023","34,556.24"
,"Oct 31, 2023","34,498.70"
,"Nov 1, 2023","34,672.29"
,"Nov 2, 2023","35,457.45"
,"Nov 3, 2023","34,924.06"
,"Nov 4, 2023","34,731.38"
,"Nov 5, 2023","35,048.41"
,"Nov 6, 2023","35,061.93"
,"Nov 7, 2023","35,031.27"
,"Nov 8, 2023","35,436.54"
,"Nov 9, 2023","35,795.08"
,"Nov 10, 2023","36,768.42"
,"Nov 11, 2023","37,344.25"
,"Nov 12, 2023","37,122.72"
,"Nov 13, 2023","37,067.70"
,"Nov 14, 2023","36,549.16"
,"Nov 15, 2023","35,545.20"
,"Nov 16, 2023","37,903.66"
,"Nov 17, 2023","36,201.52"
,"Nov 18, 2023","36,527.76"
,"Nov 19, 2023","36,582.37"
,"Nov 20, 2023","37,413.99"
,"Nov 21, 2023","37,489.30"
,"Nov 22, 2023","35,965.36"
,"Nov 23, 2023","37,464.83"
,"Nov 24, 2023","37,293.32"
,"Nov 25, 2023","37,738.93"
,"Nov 26, 2023","37,809.85"
,"Nov 27, 2023","37,491.84"
,"Nov 28, 2023","37,250.17"
,"Nov 29, 2023","37,802.24"
,"Nov 30, 2023","37,810.35"
,"Dec 1, 2023","37,711.82"
,"Dec 2, 2023","38,688.26"
,"Dec 3, 2023","39,481.67"
,"Dec 4, 2023","39,960.28"
,"Dec 5, 2023","41,974.33"
,"Dec 6, 2023","44,105.94"
,"Dec 7, 2023","43,788.29"
,"Dec 8, 2023","43,270.12"
,"Dec 9, 2023","44,202.18"
,"Dec 10, 2023","43,745.49"
,"Dec 11, 2023","43,757.96"
,"Dec 12, 2023","41,200.96"
,"Dec 13, 2023","41,450.82"
,"Dec 14, 2023","42,931.76"
,"Dec 15, 2023","43,009.60"
,"Dec 16, 2023","41,992.01"
,"Dec 17, 2023","42,247.07"
,"Dec 18, 2023","41,410.82"
,"Dec 19, 2023","42,684.18"
,"Dec 20, 2023","42,250.21"
,"Dec 21, 2023","43,634.12"
,"Dec 22, 2023","43,849.70"
,"Dec 23, 2023","44,003.70"
,"Dec 24, 2023","43,752.03"
,"Dec 25, 2023","43,034.97"
,"Dec 26, 2023","43,638.24"
,"Dec 27, 2023","42,516.43"
,"Dec 28, 2023","43,418.47"
,"Dec 29, 2023","42,600.65"
,"Dec 30, 2023","42,074.71"
,"Dec 31, 2023","42,220.61"
,"Jan 1, 2024","42,208.20"
,"Jan 2, 2024","44,168.68"
,"Jan 3, 2024","44,994.67"
,"Jan 4, 2024","42,821.56"
,"Jan 5, 2024","44,195.58"
,"Jan 6, 2024","44,113.70"
,"Jan 7, 2024","43,956.12"
,"Jan 8, 2024","43,883.74"
,"Jan 9, 2024","46,936.19"
,"Jan 10, 2024","46,105.95"
,"Jan 11, 2024","46,632.31"
,"Jan 12, 2024","46,314.36"
,"Jan 13, 2024","42,893.93"
,"Jan 14, 2024","42,848.47"
,"Jan 15, 2024","41,800.93"
,"Jan 16, 2024","42,587.34"
,"Jan 17, 2024","43,148"
,"Jan 18, 2024","42,713.86"
,"Jan 19, 2024","41,261.39"
,"Jan 20, 2024","41,600.94"
,"Jan 21, 2024","41,626.11"
,"Jan 22, 2024","41,541.90"
,"Jan 23, 2024","39,504.73"
,"Jan 24, 2024","39,833.45"
,"Jan 25, 2024","40,123.67"
,"Jan 26, 2024","39,938.29"
,"Jan 27, 2024","41,862.94"
,"Jan 28, 2024","42,119.61"
,"Jan 29, 2024","42,026.58"
,"Jan 30, 2024","43,267.61"
,"Jan 31, 2024","42,892.03"
,"Feb 1, 2024","42,583.26"
,"Feb 2, 2024","43,069.04"
,"Feb 3, 2024","43,170.66"
,"Feb 4, 2024","42,976.85"
,"Feb 5, 2024","42,599.36"
,"Feb 6, 2024","42,648.46"
,"Feb 7, 2024","43,087.79"
,"Feb 8, 2024","44,247.42"
,"Feb 9, 2024","45,338.27"
,"Feb 10, 2024","47,143.24"
,"Feb 11, 2024","47,769"
,"Feb 12, 2024","48,189.88"
,"Feb 13, 2024","50,050.14"
,"Feb 14, 2024","49,732.15"
,"Feb 15, 2024","51,790.17"
,"Feb 16, 2024","51,958.23"
,"Feb 17, 2024","52,166.43"
,"Feb 18, 2024","51,684.52"
,"Feb 19, 2024","52,138.49"
,"Feb 20, 2024","51,764.31"
,"Feb 21, 2024","52,286.79"
,"Feb 22, 2024","51,842.76"
,"Feb 23, 2024","51,319.50"
,"Feb 24, 2024","50,841.08"
,"Feb 25, 2024","51,553.10"
,"Feb 26, 2024","51,751.88"
,"Feb 27, 2024","54,478.19"
,"Feb 28, 2024","57,003.53"
,"Feb 29, 2024","62,558.58"
,"Mar 1, 2024","61,298.22"
,"Mar 2, 2024","62,426.64"
,"Mar 3, 2024","62,067.87"
,"Mar 4, 2024","63,053.11"
,"Mar 5, 2024","68,186.65"
,"Mar 6, 2024","64,291.54"
,"Mar 7, 2024","66,145.92"
,"Mar 8, 2024","66,944.88"
,"Mar 9, 2024","68,315.25"
,"Mar 10, 2024","68,508"
,"Mar 11, 2024","69,075.67"
,"Mar 12, 2024","72,130.55"
,"Mar 13, 2024","71,467.17"
,"Mar 14, 2024","73,097.77"
,"Mar 15, 2024","71,420.03"
,"Mar 16, 2024","69,497.76"
,"Mar 17, 2024","65,292.31"
,"Mar 18, 2024","68,425.42"
,"Mar 19, 2024","67,708.94"
,"Mar 20, 2024","62,132.52"
,"Mar 21, 2024","67,819.06"
,"Mar 22, 2024","65,535.98"
,"Mar 23, 2024","63,509.04"
,"Mar 24, 2024","64,285.80"
,"Mar 25, 2024","67,310.98"
,"Mar 26, 2024","69,938.95"
,"Mar 27, 2024","70,082.05"
,"Mar 28, 2024","69,435.75"
,"Mar 29, 2024","70,710.20"
,"Mar 30, 2024","69,919.06"
,"Mar 31, 2024","69,702.31"
,"Apr 1, 2024","71,246.95"
,"Apr 2, 2024","69,785.93"
,"Apr 3, 2024","65,440.42"
,"Apr 4, 2024","66,123.94"
,"Apr 5, 2024","68,542.18"
,"Apr 6, 2024","67,978.61"
,"Apr 7, 2024","69,000.65"
,"Apr 8, 2024","69,401.97"
,"Apr 9, 2024","71,624.18"
,"Apr 10, 2024","69,158.64"
,"Apr 11, 2024","70,527.89"
,"Apr 12, 2024","70,106.66"
,"Apr 13, 2024","67,252.11"
,"Apr 14, 2024","64,404.83"
,"Apr 15, 2024","65,752.66"
,"Apr 16, 2024","63,430.57"
,"Apr 17, 2024","63,720.50"
,"Apr 18, 2024","61,328.90"
,"Apr 19, 2024","63,461.59"
,"Apr 20, 2024","63,988.82"
,"Apr 21, 2024","64,894.42"
,"Apr 22, 2024","64,936.42"
,"Apr 23, 2024","66,841.67"
,"Apr 24, 2024","66,406.95"
,"Apr 25, 2024","64,279.52"
,"Apr 26, 2024","64,486.18"
,"Apr 27, 2024","63,802.33"
,"Apr 28, 2024","63,517.25"
,"Apr 29, 2024","63,030.43"
,"Apr 30, 2024","63,797.68"
,"May 1, 2024","60,749.47"
,"May 2, 2024","58,297.57"
,"May 3, 2024","59,135.17"
,"May 4, 2024","62,839.34"
,"May 5, 2024","63,820.45"
,"May 6, 2024","64,010.01"
,"May 7, 2024","63,172.48"
,"May 8, 2024","62,363.06"
,"May 9, 2024","61,215.50"
,"May 10, 2024","63,148.60"
,"May 11, 2024","60,888.22"
,"May 12, 2024","60,776.97"
,"May 13, 2024","61,507.05"
,"May 14, 2024","62,878.78"
,"May 15, 2024","61,569.11"
,"May 16, 2024","66,220.52"
,"May 17, 2024","65,260.88"
,"May 18, 2024","67,053.12"
,"May 19, 2024","66,912.62"
,"May 20, 2024","66,252.71"
,"May 21, 2024","71,430.30"
,"May 22, 2024","70,189.84"
,"May 23, 2024","69,181.20"
,"May 24, 2024","67,906.47"
,"May 25, 2024","68,539.92"
,"May 26, 2024","69,268.45"
,"May 27, 2024","68,508.83"
,"May 28, 2024","69,367.24"
,"May 29, 2024","68,316.64"
,"May 30, 2024","67,577.27"
,"May 31, 2024","68,372.49"
,"Jun 1, 2024","67,474.95"
,"Jun 2, 2024","67,704.33"
,"Jun 3, 2024","67,740.02"
,"Jun 4, 2024","68,808.29"
,"Jun 5, 2024","70,600.01"
,"Jun 6, 2024","71,184.60"
,"Jun 7, 2024","70,759.59"
,"Jun 8, 2024","69,325.36"
,"Jun 9, 2024","69,315.10"
,"Jun 10, 2024","69,654.16"
,"Jun 11, 2024","69,493.18"
,"Jun 12, 2024","67,329.15"
,"Jun 13, 2024","68,224.52"
,"Jun 14, 2024","66,700.32"
,"Jun 15, 2024","66,011.08"
,"Jun 16, 2024","66,190.49"
,"Jun 17, 2024","66,615.54"
,"Jun 18, 2024","66,460.39"
,"Jun 19, 2024","65,109.31"
,"Jun 20, 2024","64,907.07"
,"Jun 21, 2024","64,844.67"
,"Jun 22, 2024","64,071.62"
,"Jun 23, 2024","64,239.90"
,"Jun 24, 2024","63,221.36"
,"Jun 25, 2024","60,363.23"
,"Jun 26, 2024","61,770.41"
,"Jun 27, 2024","60,749.90"
,"Jun 28, 2024","61,562.65"
,"Jun 29, 2024","60,317.10"
,"Jun 30, 2024","60,864.44"
,"Jul 1, 2024","62,734.39"
,"Jul 2, 2024","62,819.82"
,"Jul 3, 2024","62,042.57"
,"Jul 4, 2024","60,244.68"
,"Jul 5, 2024","57,189.17"
,"Jul 6, 2024","56,739.86"
,"Jul 7, 2024","58,230.48"
,"Jul 8, 2024","55,880.38"
,"Jul 9, 2024","56,665.14"
,"Jul 10, 2024","57,988.30"
,"Jul 11, 2024","57,704.20"
,"Jul 12, 2024","57,388.19"
,"Jul 13, 2024","57,899.29"
,"Jul 14, 2024","59,152.72"
,"Jul 15, 2024","60,942.33"
,"Jul 16, 2024","64,835.49"
,"Jul 17, 2024","65,162.24"
,"Jul 18, 2024","64,136.31"
,"Jul 19, 2024","63,959.57"
,"Jul 20, 2024","66,689.55"
,"Jul 21, 2024","67,206.06"
,"Jul 22, 2024","68,088.14"
,"Jul 23, 2024","67,607.71"
,"Jul 24, 2024","65,942.42"
,"Jul 25, 2024","65,403.54"
,"Jul 26, 2024","65,749.96"
,"Jul 27, 2024","67,920.30"
,"Jul 28, 2024","68,055.41"
,"Jul 29, 2024","68,242.25"
,"Jul 30, 2024","66,770.32"
,"Jul 31, 2024","66,219.05"
,"Aug 1, 2024","64,679.78"
,"Aug 2, 2024","65,357.53"
,"Aug 3, 2024","61,407.30"
,"Aug 4, 2024","60,738.74"
,"Aug 5, 2024","58,006.21"
,"Aug 6, 2024","53,956.26"
,"Aug 7, 2024","55,959.84"
,"Aug 8, 2024","55,099.95"
,"Aug 9, 2024","61,859.03"
,"Aug 10, 2024","60,912.59"
,"Aug 11, 2024","60,887.71"
,"Aug 12, 2024","58,804.23"
,"Aug 13, 2024","59,350.07"
,"Aug 14, 2024","60,601.22"
,"Aug 15, 2024","58,739.19"
,"Aug 16, 2024","57,624.12"
,"Aug 17, 2024","58,881.93"
,"Aug 18, 2024","59,430.79"
,"Aug 19, 2024","58,438.29"
,"Aug 20, 2024","59,574.95"
,"Aug 21, 2024","59,060.13"
,"Aug 22, 2024","61,144.69"
,"Aug 23, 2024","60,387.54"
,"Aug 24, 2024","64,049.69"
,"Aug 25, 2024","64,157.16"
,"Aug 26, 2024","64,265.82"
,"Aug 27, 2024","62,922.59"
,"Aug 28, 2024","59,526.56"
,"Aug 29, 2024","59,015.30"
,"Aug 30, 2024","59,351.58"
,"Aug 31, 2024","59,156.25"
,"Sep 1, 2024","58,960.24"
,"Sep 2, 2024","57,357.72"
,"Sep 3, 2024","59,108.73"
,"Sep 4, 2024","57,504.54"
,"Sep 5, 2024","57,987.85"
,"Sep 6, 2024","56,132.40"
,"Sep 7, 2024","53,923.36"
,"Sep 8, 2024","54,150.94"
,"Sep 9, 2024","54,792.41"
,"Sep 10, 2024","57,049.12"
,"Sep 11, 2024","57,624.16"
,"Sep 12, 2024","57,381.76"
,"Sep 13, 2024","58,106.95"
,"Sep 14, 2024","60,620.63"
,"Sep 15, 2024","60,003.30"
,"Sep 16, 2024","59,214.80"
,"Sep 17, 2024","58,211.12"
,"Sep 18, 2024","60,317.03"
,"Sep 19, 2024","61,440.41"
,"Sep 20, 2024","62,966.53"
,"Sep 21, 2024","63,128.22"
,"Sep 22, 2024","63,403.40"
,"Sep 23, 2024","63,582.60"
,"Sep 24, 2024","63,327.03"
,"Sep 25, 2024","64,334.14"
,"Sep 26, 2024","63,151.90"
,"Sep 27, 2024","65,130.77"
,"Sep 28, 2024","65,791"
,"Sep 29, 2024","65,934.11"
,"Sep 30, 2024","65,663.69"
,"Oct 1, 2024","63,243.28"
,"Oct 2, 2024","60,872.67"
,"Oct 3, 2024","60,655.56"
,"Oct 4, 2024","60,727.86"
,"Oct 5, 2024","62,103.01"
,"Oct 6, 2024","62,091.93"
,"Oct 7, 2024","62,811.80"
,"Oct 8, 2024","62,287.39"
,"Oct 9, 2024","62,185.23"
,"Oct 10, 2024","60,597.15"
,"Oct 11, 2024","60,195.18"
,"Oct 12, 2024","62,392.34"
,"Oct 13, 2024","63,207.77"
,"Oct 14, 2024","62,829.53"
,"Oct 15, 2024","66,049.99"
,"Oct 16, 2024","66,962.22"
